Target,Threshold
Cyclin-dependent kinase 2/G1/S-specific cyclin-E1,6.962573502059376
Dual specificity tyrosine-phosphorylation-regulated kinase 1A,6.480172006224281
Glycogen synthase kinase-3 beta,6.154901959985743
Interleukin-1 receptor-associated kinase 4,7.620166077655185
Leucine-rich repeat serine/threonine-protein kinase 2,7.309803919971486
Mitogen-activated protein kinase 1,7.72584215073632
Mitogen-activated protein kinase 14,6.853871964321762
Mitogen-activated protein kinase kinase kinase kinase 1,7.008773924307505
Non-receptor tyrosine-protein kinase TYK2,7.002621527706186
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",6.320572103387881
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",7.00436480540245
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",6.330683119433888
RAF proto-oncogene serine/threonine-protein kinase,8.013228265733755
Rho-associated protein kinase 2,7.00436480540245
Serine/threonine-protein kinase ATR,7.1249387366083
Serine/threonine-protein kinase B-raf,7.303952646942828
Serine/threonine-protein kinase mTOR,7.061480274823508
Tyrosine-protein kinase ABL1,6.270025714300444
Tyrosine-protein kinase BTK,7.602407705158788
Tyrosine-protein kinase JAK1,7.260572516235668
Tyrosine-protein kinase JAK2,6.926935982160881
Tyrosine-protein kinase JAK3,6.686132779630847
Tyrosine-protein kinase SYK,7.26318353656308
