Fingerprint,Model,Target,N_Features,Scaling,Hyperparameters,Threshold,Split_Method,Split,Accuracy,Precision,Recall,F1,AUC,AUPRC,MCC,TP,TN,FP,FN
AVALON,ExtraTrees,Cyclin-dependent kinase 2/G1/S-specific cyclin-E1,2048,MaxAbsScaler,default,6.958607314841775,butina,Train_Test,0.932475884244373,0.9135559921414538,0.9607438016528924,0.9365558912386708,0.9791800879824772,0.977463053245536,0.8657412720580084,465,405,44,19
AVALON,ExtraTrees,Cyclin-dependent kinase 2/G1/S-specific cyclin-E1,2048,MaxAbsScaler,default,6.958607314841775,butina,Train_Train,0.999624765478424,0.9992389649923896,1.0,0.9996193376475068,0.9999997183377872,0.9999994203846096,0.999249659953753,1313,1351,1,0
AVALON,ExtraTrees,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,2048,MaxAbsScaler,default,6.478212769706358,butina,Train_Test,0.8145161290322581,0.7907692307692308,0.8453947368421053,0.8171701112877583,0.880100766155896,0.8584442212562517,0.63082572431992,257,248,68,47
AVALON,ExtraTrees,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,2048,MaxAbsScaler,default,6.478212769706358,butina,Train_Train,0.9994138335287222,0.9988372093023256,1.0,0.9994182664339732,0.9999993127837344,0.9999986463437746,0.9988282858391654,859,846,1,0
AVALON,ExtraTrees,Glycogen synthase kinase-3 beta,2048,MaxAbsScaler,default,6.153664650421815,butina,Train_Test,0.832408435072142,0.8247863247863247,0.8483516483516483,0.8364030335861322,0.9235499926082884,0.9248219813268694,0.6649638957498086,386,364,82,69
AVALON,ExtraTrees,Glycogen synthase kinase-3 beta,2048,MaxAbsScaler,default,6.153664650421815,butina,Train_Train,0.9996548153261996,0.9993079584775086,1.0,0.9996538594669436,0.999999761692782,0.999999520746868,0.999309863614089,1444,1452,1,0
AVALON,ExtraTrees,Interleukin-1 receptor-associated kinase 4,2048,MaxAbsScaler,default,7.619788758288394,butina,Train_Test,0.7978679786797868,0.9422135161606268,0.6891117478510028,0.7960281340504758,0.8532126442623356,0.901789489060888,0.6343438350318366,962,984,59,434
AVALON,ExtraTrees,Interleukin-1 receptor-associated kinase 4,2048,MaxAbsScaler,default,7.619788758288394,butina,Train_Train,0.9998480012159904,0.9996781461216608,1.0,0.9998390471591824,0.9999999536485024,0.9999998963767296,0.9996951051657558,3106,3472,1,0
AVALON,ExtraTrees,Leucine-rich repeat serine/threonine-protein kinase 2,2048,MaxAbsScaler,default,7.301029995663981,butina,Train_Test,0.8678955453149002,0.8308605341246291,0.906148867313916,0.8668730650154799,0.9459253581634776,0.9394983157521264,0.7389928615311919,280,285,57,29
AVALON,ExtraTrees,Leucine-rich repeat serine/threonine-protein kinase 2,2048,MaxAbsScaler,default,7.301029995663981,butina,Train_Train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1069,1319,0,0
AVALON,ExtraTrees,Mitogen-activated protein kinase 1,2048,MaxAbsScaler,default,7.721246399047171,butina,Train_Test,0.8364611260053619,0.8295165394402035,0.8556430446194225,0.8423772609819121,0.9089139970517384,0.8977222858462636,0.6728947951824022,652,596,134,110
AVALON,ExtraTrees,Mitogen-activated protein kinase 1,2048,MaxAbsScaler,default,7.721246399047171,butina,Train_Train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1671,1722,0,0
AVALON,ExtraTrees,Mitogen-activated protein kinase 14,2048,MaxAbsScaler,default,6.85078088734462,butina,Train_Test,0.6711281070745698,0.7016129032258065,0.2208121827411167,0.3359073359073359,0.7042465977390925,0.5687952955477594,0.2459280979729784,87,615,37,307
AVALON,ExtraTrees,Mitogen-activated protein kinase 14,2048,MaxAbsScaler,default,6.85078088734462,butina,Train_Train,0.9972697939935468,0.9948884758364313,1.0,0.9974376892615886,0.9999850329324964,0.9999737380822984,0.994531038115927,2141,1877,11,0
AVALON,ExtraTrees,Mitogen-activated protein kinase kinase kinase kinase 1,2048,MaxAbsScaler,default,7.0,butina,Train_Test,0.9155038759689924,0.9109062980030722,0.9208074534161492,0.915830115830116,0.9699332250062496,0.97199123989287,0.8310591308210302,593,588,58,51
AVALON,ExtraTrees,Mitogen-activated protein kinase kinase kinase kinase 1,2048,MaxAbsScaler,default,7.0,butina,Train_Train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1163,2652,0,0
