Drug_Name,SMILES
(5Z)-7-Oxozeaenol,COc1cc(O)c2c(c1)C=CCC(O)C(O)C(=O)C=CCC(C)OC2=O
123138,[CH2]C
123829,CC(C[Se]CC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
150412,CC(CO)(CO)NCc1ccc2c(ccc3c4ccccc4ccc23)c1
5-Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1
5-azacytidine,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1
50869,NNCCCCCCOc1ccccc1
615590,CNC(=O)CSc1c(-c2cccs2)[nH]c2ccccc12
630600,Brc1ccc(C=C(c2ccccc2)c2ccccc2)cc1
667880,CC1CCc2c(sc(NC(=O)C=Cc3ccco3)c2C#N)C1
720427,COc1ccccc1CC(=O)N1CCCC(C)C1
729189,Cc1nn(-c2ccc(F)cc2)c2c1C(=O)CC(C)(C)C2
741909,O=c1c(=Cc2c(Cl)cccc2Cl)sc2nc3ccccc3n12
743380,COc1cc(NS(=O)(=O)c2ccc(F)cc2)c(OC)cc1Cl
765771,Cc1ccc(NC(=O)C2CCCN2C(=O)c2cccs2)c(C)c1
776928,COc1cccc(NC(=S)NC(=O)C=Cc2ccco2)c1
A-366,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1
A-443654,Cc1[nH]nc2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12
A-770041,COc1cc(-c2nn(C3CCC(N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C
A-83-01,Cc1cccc(-c2nn(C(=S)Nc3ccccc3)cc2-c2ccnc3ccccc23)n1
ABT737,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
ACY-1215,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO
AGI-5198,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cn1ccnc1C)c1cccc(F)c1
AGI-6780,O=C(Nc1cccc(C(F)(F)F)c1)Nc1cc(S(=O)(=O)NC2CC2)ccc1-c1ccsc1
AGK2,N#CC(=Cc1ccc(-c2cc(Cl)ccc2Cl)o1)C(=O)Nc1cccc2ncccc12
AICA Ribonucleotide,NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N
AKT inhibitor VIII,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3[nH]c4cc5ncnc5cc4nc3-c3ccccc3)cc2)CC1
AMG-319,CC(Nc1ncnc2nc[nH]c12)c1cc2ccc(F)cc2nc1-c1ccccn1
AR-42,CC(C)C(C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1
ARRY-520,CON(C)C(=O)N1N=C(c2cc(F)ccc2F)SC1(CCCN)c1ccccc1
AS601245,N#CC(c1ccnc(NCCc2cccnc2)n1)c1nc2ccccc2s1
AS605240,O=C1NC(=O)C(=Cc2ccc3nccnc3c2)S1
AST-1306,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1
AT-7519,O=C(NC1CCNCC1)c1[nH]ncc1NC(=O)c1c(Cl)cccc1Cl
AT13148,NCC(O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1
AT7867,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1
