Cell_Line,Z_Score_Threshold,N_total,N_sensitive,N_resistant,Pct_sensitive
A427,-0.5,387,148,239,38.24
A549,-0.5,402,116,286,28.86
ABC-1,-0.5,386,84,302,21.76
BEN,-0.5,344,44,300,12.79
CAL-12T,-0.5,349,119,230,34.1
COR-L105,-0.5,397,103,294,25.94
COR-L23,-0.5,402,97,305,24.13
Calu-3,-0.5,402,43,359,10.7
Calu-6,-0.5,424,77,347,18.16
ChaGo-K-1,-0.5,344,41,303,11.92
EBC-1,-0.5,398,90,308,22.61
EKVX,-0.5,418,28,390,6.7
EMC-BAC-1,-0.5,317,89,228,28.08
EMC-BAC-2,-0.5,375,130,245,34.67
EPLC-272H,-0.5,403,176,227,43.67
H3255,-0.5,384,43,341,11.2
HARA,-0.5,402,126,276,31.34
HCC-15,-0.5,403,48,355,11.91
HCC-366,-0.5,256,24,232,9.38
HCC-44,-0.5,393,163,230,41.48
HCC-78,-0.5,400,142,258,35.5
HCC-827,-0.5,396,57,339,14.39
HOP-62,-0.5,424,115,309,27.12
HOP-92,-0.5,355,45,310,12.68
IA-LM,-0.5,418,41,377,9.81
KNS-62,-0.5,308,53,255,17.21
LC-1-sq,-0.5,359,35,324,9.75
LC-2-ad,-0.5,368,160,208,43.48
LCLC-103H,-0.5,396,65,331,16.41
LCLC-97TM1,-0.5,402,167,235,41.54
LK-2,-0.5,400,114,286,28.5
LOU-NH91,-0.5,402,60,342,14.93
LU-65,-0.5,428,38,390,8.88
LU-99A,-0.5,395,73,322,18.48
LXF-289,-0.5,428,155,273,36.21
NCI-H1155,-0.5,427,117,310,27.4
NCI-H1299,-0.5,406,59,347,14.53
NCI-H1355,-0.5,428,63,365,14.72
NCI-H1435,-0.5,396,34,362,8.59
NCI-H1437,-0.5,346,94,252,27.17
NCI-H1563,-0.5,402,60,342,14.93
NCI-H1568,-0.5,403,56,347,13.9
NCI-H1573,-0.5,333,24,309,7.21
NCI-H1581,-0.5,423,124,299,29.31
NCI-H1623,-0.5,403,61,342,15.14
NCI-H1648,-0.5,365,124,241,33.97
NCI-H1650,-0.5,418,32,386,7.66
NCI-H1651,-0.5,402,75,327,18.66
NCI-H1666,-0.5,422,38,384,9.0
NCI-H1693,-0.5,352,32,320,9.09
NCI-H1703,-0.5,333,107,226,32.13
NCI-H1734,-0.5,326,83,243,25.46
NCI-H1755,-0.5,402,103,299,25.62
NCI-H1770,-0.5,373,74,299,19.84
NCI-H1781,-0.5,403,62,341,15.38
NCI-H1792,-0.5,401,122,279,30.42
NCI-H1793,-0.5,396,18,378,4.55
NCI-H1838,-0.5,361,3,358,0.83
NCI-H1869,-0.5,418,43,375,10.29
NCI-H1915,-0.5,403,54,349,13.4
NCI-H1944,-0.5,403,126,277,31.27
NCI-H1975,-0.5,428,112,316,26.17
NCI-H1993,-0.5,401,49,352,12.22
NCI-H2009,-0.5,332,53,279,15.96
NCI-H2023,-0.5,394,56,338,14.21
NCI-H2030,-0.5,342,91,251,26.61
NCI-H2085,-0.5,374,63,311,16.84
NCI-H2087,-0.5,401,61,340,15.21
NCI-H2110,-0.5,348,95,253,27.3
NCI-H2122,-0.5,401,157,244,39.15
NCI-H2135,-0.5,408,40,368,9.8
NCI-H2170,-0.5,396,78,318,19.7
NCI-H2172,-0.5,342,18,324,5.26
NCI-H2228,-0.5,394,48,346,12.18
NCI-H226,-0.5,428,34,394,7.94
NCI-H2291,-0.5,348,23,325,6.61
NCI-H23,-0.5,424,87,337,20.52
NCI-H2342,-0.5,331,52,279,15.71
NCI-H2347,-0.5,339,38,301,11.21
NCI-H2405,-0.5,398,34,364,8.54
NCI-H2444,-0.5,343,8,335,2.33
NCI-H292,-0.5,348,186,162,53.45
NCI-H3122,-0.5,390,85,305,21.79
NCI-H322M,-0.5,424,44,380,10.38
NCI-H358,-0.5,397,91,306,22.92
NCI-H441,-0.5,402,16,386,3.98
NCI-H460,-0.5,343,118,225,34.4
NCI-H520,-0.5,397,92,305,23.17
NCI-H522,-0.5,390,67,323,17.18
NCI-H596,-0.5,398,27,371,6.78
NCI-H647,-0.5,341,129,212,37.83
NCI-H650,-0.5,403,49,354,12.16
NCI-H661,-0.5,398,62,336,15.58
NCI-H720,-0.5,422,68,354,16.11
NCI-H727,-0.5,397,43,354,10.83
NCI-H810,-0.5,401,130,271,32.42
NCI-H835,-0.5,219,45,174,20.55
NCI-H838,-0.5,343,81,262,23.62
PC-14,-0.5,404,110,294,27.23
PC-3_[JPC-3],-0.5,333,38,295,11.41
RERF-LC-KJ,-0.5,403,59,344,14.64
RERF-LC-MS,-0.5,347,89,258,25.65
RERF-LC-Sq1,-0.5,400,57,343,14.25
SK-LU-1,-0.5,398,61,337,15.33
SK-MES-1,-0.5,403,95,308,23.57
SW1573,-0.5,402,16,386,3.98
UMC-11,-0.5,396,101,295,25.51
VMRC-LCD,-0.5,271,34,237,12.55
