Cell_Line,Threshold
A427,-0.5
A549,-0.5
ABC-1,-0.5
BEN,-0.5
CAL-12T,-0.5
COR-L105,-0.5
COR-L23,-0.5
Calu-3,-0.5
Calu-6,-0.5
ChaGo-K-1,-0.5
EBC-1,-0.5
EKVX,-0.5
EMC-BAC-1,-0.5
EMC-BAC-2,-0.5
EPLC-272H,-0.5
H3255,-0.5
HARA,-0.5
HCC-15,-0.5
HCC-366,-0.5
HCC-44,-0.5
HCC-78,-0.5
HCC-827,-0.5
HOP-62,-0.5
HOP-92,-0.5
IA-LM,-0.5
KNS-62,-0.5
LC-1-sq,-0.5
LC-2-ad,-0.5
LCLC-103H,-0.5
LCLC-97TM1,-0.5
LK-2,-0.5
LOU-NH91,-0.5
LU-65,-0.5
LU-99A,-0.5
LXF-289,-0.5
NCI-H1155,-0.5
NCI-H1299,-0.5
NCI-H1355,-0.5
NCI-H1435,-0.5
NCI-H1437,-0.5
NCI-H1563,-0.5
NCI-H1568,-0.5
NCI-H1573,-0.5
NCI-H1581,-0.5
NCI-H1623,-0.5
NCI-H1648,-0.5
NCI-H1650,-0.5
NCI-H1651,-0.5
NCI-H1666,-0.5
NCI-H1693,-0.5
NCI-H1703,-0.5
NCI-H1734,-0.5
NCI-H1755,-0.5
NCI-H1770,-0.5
NCI-H1781,-0.5
NCI-H1792,-0.5
NCI-H1793,-0.5
NCI-H1838,-0.5
NCI-H1869,-0.5
NCI-H1915,-0.5
NCI-H1944,-0.5
NCI-H1975,-0.5
NCI-H1993,-0.5
NCI-H2009,-0.5
NCI-H2023,-0.5
NCI-H2030,-0.5
NCI-H2085,-0.5
NCI-H2087,-0.5
NCI-H2110,-0.5
NCI-H2122,-0.5
NCI-H2135,-0.5
NCI-H2170,-0.5
NCI-H2172,-0.5
NCI-H2228,-0.5
NCI-H226,-0.5
NCI-H2291,-0.5
NCI-H23,-0.5
NCI-H2342,-0.5
NCI-H2347,-0.5
NCI-H2405,-0.5
NCI-H2444,-0.5
NCI-H292,-0.5
NCI-H3122,-0.5
NCI-H322M,-0.5
NCI-H358,-0.5
NCI-H441,-0.5
NCI-H460,-0.5
NCI-H520,-0.5
NCI-H522,-0.5
NCI-H596,-0.5
NCI-H647,-0.5
NCI-H650,-0.5
NCI-H661,-0.5
NCI-H720,-0.5
NCI-H727,-0.5
NCI-H810,-0.5
NCI-H835,-0.5
NCI-H838,-0.5
PC-14,-0.5
PC-3_[JPC-3],-0.5
RERF-LC-KJ,-0.5
RERF-LC-MS,-0.5
RERF-LC-Sq1,-0.5
SK-LU-1,-0.5
SK-MES-1,-0.5
SW1573,-0.5
UMC-11,-0.5
VMRC-LCD,-0.5
