Cell_Line,Raw drugs,After InChIKey Block1 dedup (final),% removed → After InChIKey Block1 dedup (final)
A427,396,387,2.27
A549,412,402,2.43
ABC-1,394,386,2.03
BEN,353,344,2.55
CAL-12T,358,349,2.51
COR-L105,406,397,2.22
COR-L23,411,402,2.19
Calu-3,411,402,2.19
Calu-6,431,424,1.62
ChaGo-K-1,353,344,2.55
EBC-1,406,398,1.97
EKVX,427,418,2.11
EMC-BAC-1,325,317,2.46
EMC-BAC-2,384,375,2.34
EPLC-272H,412,403,2.18
H3255,393,384,2.29
HARA,411,402,2.19
HCC-15,411,403,1.95
HCC-366,265,256,3.4
HCC-44,402,393,2.24
HCC-78,409,400,2.2
HCC-827,404,396,1.98
HOP-62,433,424,2.08
HOP-92,364,355,2.47
IA-LM,427,418,2.11
KNS-62,317,308,2.84
LC-1-sq,367,359,2.18
LC-2-ad,377,368,2.39
LCLC-103H,405,396,2.22
LCLC-97TM1,411,402,2.19
LK-2,409,400,2.2
LOU-NH91,410,402,1.95
LU-65,435,428,1.61
LU-99A,404,395,2.23
LXF-289,436,428,1.83
NCI-H1155,436,427,2.06
NCI-H1299,415,406,2.17
NCI-H1355,437,428,2.06
NCI-H1435,405,396,2.22
NCI-H1437,352,346,1.7
NCI-H1563,412,402,2.43
NCI-H1568,412,403,2.18
NCI-H1573,341,333,2.35
NCI-H1581,432,423,2.08
NCI-H1623,412,403,2.18
NCI-H1648,374,365,2.41
NCI-H1650,425,418,1.65
NCI-H1651,411,402,2.19
NCI-H1666,431,422,2.09
NCI-H1693,360,352,2.22
NCI-H1703,341,333,2.35
NCI-H1734,328,326,0.61
NCI-H1755,411,402,2.19
NCI-H1770,382,373,2.36
NCI-H1781,412,403,2.18
NCI-H1792,410,401,2.2
NCI-H1793,405,396,2.22
NCI-H1838,369,361,2.17
NCI-H1869,427,418,2.11
NCI-H1915,412,403,2.18
NCI-H1944,412,403,2.18
NCI-H1975,437,428,2.06
NCI-H1993,410,401,2.2
NCI-H2009,340,332,2.35
NCI-H2023,403,394,2.23
NCI-H2030,351,342,2.56
NCI-H2085,383,374,2.35
NCI-H2087,409,401,1.96
NCI-H2110,357,348,2.52
NCI-H2122,409,401,1.96
NCI-H2135,417,408,2.16
NCI-H2170,405,396,2.22
NCI-H2172,350,342,2.29
NCI-H2228,401,394,1.75
NCI-H226,436,428,1.83
NCI-H2291,357,348,2.52
NCI-H23,433,424,2.08
NCI-H2342,339,331,2.36
NCI-H2347,347,339,2.31
NCI-H2405,407,398,2.21
NCI-H2444,352,343,2.56
NCI-H292,356,348,2.25
NCI-H3122,398,390,2.01
NCI-H322M,431,424,1.62
NCI-H358,404,397,1.73
NCI-H441,411,402,2.19
NCI-H460,352,343,2.56
NCI-H520,406,397,2.22
NCI-H522,399,390,2.26
NCI-H596,407,398,2.21
NCI-H647,349,341,2.29
NCI-H650,412,403,2.18
NCI-H661,405,398,1.73
NCI-H720,431,422,2.09
NCI-H727,406,397,2.22
NCI-H810,410,401,2.2
NCI-H835,226,219,3.1
NCI-H838,350,343,2.0
PC-14,414,404,2.42
PC-3_[JPC-3],341,333,2.35
RERF-LC-KJ,412,403,2.18
RERF-LC-MS,356,347,2.53
RERF-LC-Sq1,409,400,2.2
SK-LU-1,407,398,2.21
SK-MES-1,412,403,2.18
SW1573,410,402,1.95
UMC-11,405,396,2.22
VMRC-LCD,280,271,3.21
TOTAL (global unique drugs),439,429,2.28
