Cell_Line,Z_Score_Threshold,N_total,N_sensitive,N_resistant,Pct_sensitive
A427,0.0,387,233,154,60.21
A549,0.0,402,196,206,48.76
ABC-1,0.0,386,168,218,43.52
BEN,0.0,344,101,243,29.36
CAL-12T,0.0,349,208,141,59.6
COR-L105,0.0,397,175,222,44.08
COR-L23,0.0,402,215,187,53.48
Calu-3,0.0,402,93,309,23.13
Calu-6,0.0,424,158,266,37.26
ChaGo-K-1,0.0,344,96,248,27.91
EBC-1,0.0,398,184,214,46.23
EKVX,0.0,418,60,358,14.35
EMC-BAC-1,0.0,317,165,152,52.05
EMC-BAC-2,0.0,375,224,151,59.73
EPLC-272H,0.0,403,275,128,68.24
H3255,0.0,384,92,292,23.96
HARA,0.0,402,236,166,58.71
HCC-15,0.0,403,112,291,27.79
HCC-366,0.0,256,58,198,22.66
HCC-44,0.0,393,266,127,67.68
HCC-78,0.0,400,243,157,60.75
HCC-827,0.0,396,103,293,26.01
HOP-62,0.0,424,211,213,49.76
HOP-92,0.0,355,98,257,27.61
IA-LM,0.0,418,91,327,21.77
KNS-62,0.0,308,100,208,32.47
LC-1-sq,0.0,359,99,260,27.58
LC-2-ad,0.0,368,257,111,69.84
LCLC-103H,0.0,396,157,239,39.65
LCLC-97TM1,0.0,402,279,123,69.4
LK-2,0.0,400,199,201,49.75
LOU-NH91,0.0,402,121,281,30.1
LU-65,0.0,428,99,329,23.13
LU-99A,0.0,395,144,251,36.46
LXF-289,0.0,428,272,156,63.55
NCI-H1155,0.0,427,223,204,52.22
NCI-H1299,0.0,406,122,284,30.05
NCI-H1355,0.0,428,119,309,27.8
NCI-H1435,0.0,396,94,302,23.74
NCI-H1437,0.0,346,182,164,52.6
NCI-H1563,0.0,402,125,277,31.09
NCI-H1568,0.0,403,104,299,25.81
NCI-H1573,0.0,333,56,277,16.82
NCI-H1581,0.0,423,233,190,55.08
NCI-H1623,0.0,403,120,283,29.78
NCI-H1648,0.0,365,210,155,57.53
NCI-H1650,0.0,418,67,351,16.03
NCI-H1651,0.0,402,141,261,35.07
NCI-H1666,0.0,422,94,328,22.27
NCI-H1693,0.0,352,65,287,18.47
NCI-H1703,0.0,333,174,159,52.25
NCI-H1734,0.0,326,161,165,49.39
NCI-H1755,0.0,402,167,235,41.54
NCI-H1770,0.0,373,166,207,44.5
NCI-H1781,0.0,403,128,275,31.76
NCI-H1792,0.0,401,252,149,62.84
NCI-H1793,0.0,396,42,354,10.61
NCI-H1838,0.0,361,18,343,4.99
NCI-H1869,0.0,418,109,309,26.08
NCI-H1915,0.0,403,136,267,33.75
NCI-H1944,0.0,403,241,162,59.8
NCI-H1975,0.0,428,209,219,48.83
NCI-H1993,0.0,401,97,304,24.19
NCI-H2009,0.0,332,120,212,36.14
NCI-H2023,0.0,394,116,278,29.44
NCI-H2030,0.0,342,187,155,54.68
NCI-H2085,0.0,374,142,232,37.97
NCI-H2087,0.0,401,132,269,32.92
NCI-H2110,0.0,348,177,171,50.86
NCI-H2122,0.0,401,227,174,56.61
NCI-H2135,0.0,408,89,319,21.81
NCI-H2170,0.0,396,144,252,36.36
NCI-H2172,0.0,342,39,303,11.4
NCI-H2228,0.0,394,99,295,25.13
NCI-H226,0.0,428,97,331,22.66
NCI-H2291,0.0,348,48,300,13.79
NCI-H23,0.0,424,189,235,44.58
NCI-H2342,0.0,331,88,243,26.59
NCI-H2347,0.0,339,101,238,29.79
NCI-H2405,0.0,398,80,318,20.1
NCI-H2444,0.0,343,28,315,8.16
NCI-H292,0.0,348,238,110,68.39
NCI-H3122,0.0,390,159,231,40.77
NCI-H322M,0.0,424,94,330,22.17
NCI-H358,0.0,397,166,231,41.81
NCI-H441,0.0,402,35,367,8.71
NCI-H460,0.0,343,178,165,51.9
NCI-H520,0.0,397,183,214,46.1
NCI-H522,0.0,390,147,243,37.69
NCI-H596,0.0,398,97,301,24.37
NCI-H647,0.0,341,211,130,61.88
NCI-H650,0.0,403,145,258,35.98
NCI-H661,0.0,398,151,247,37.94
NCI-H720,0.0,422,122,300,28.91
NCI-H727,0.0,397,92,305,23.17
NCI-H810,0.0,401,215,186,53.62
NCI-H835,0.0,219,81,138,36.99
NCI-H838,0.0,343,143,200,41.69
PC-14,0.0,404,227,177,56.19
PC-3_[JPC-3],0.0,333,93,240,27.93
RERF-LC-KJ,0.0,403,137,266,34.0
RERF-LC-MS,0.0,347,168,179,48.41
RERF-LC-Sq1,0.0,400,108,292,27.0
SK-LU-1,0.0,398,126,272,31.66
SK-MES-1,0.0,403,166,237,41.19
SW1573,0.0,402,56,346,13.93
UMC-11,0.0,396,190,206,47.98
VMRC-LCD,0.0,271,79,192,29.15
