Cell_Line,Threshold
A427,0.0
A549,0.0
ABC-1,0.0
BEN,0.0
CAL-12T,0.0
COR-L105,0.0
COR-L23,0.0
Calu-3,0.0
Calu-6,0.0
ChaGo-K-1,0.0
EBC-1,0.0
EKVX,0.0
EMC-BAC-1,0.0
EMC-BAC-2,0.0
EPLC-272H,0.0
H3255,0.0
HARA,0.0
HCC-15,0.0
HCC-366,0.0
HCC-44,0.0
HCC-78,0.0
HCC-827,0.0
HOP-62,0.0
HOP-92,0.0
IA-LM,0.0
KNS-62,0.0
LC-1-sq,0.0
LC-2-ad,0.0
LCLC-103H,0.0
LCLC-97TM1,0.0
LK-2,0.0
LOU-NH91,0.0
LU-65,0.0
LU-99A,0.0
LXF-289,0.0
NCI-H1155,0.0
NCI-H1299,0.0
NCI-H1355,0.0
NCI-H1435,0.0
NCI-H1437,0.0
NCI-H1563,0.0
NCI-H1568,0.0
NCI-H1573,0.0
NCI-H1581,0.0
NCI-H1623,0.0
NCI-H1648,0.0
NCI-H1650,0.0
NCI-H1651,0.0
NCI-H1666,0.0
NCI-H1693,0.0
NCI-H1703,0.0
NCI-H1734,0.0
NCI-H1755,0.0
NCI-H1770,0.0
NCI-H1781,0.0
NCI-H1792,0.0
NCI-H1793,0.0
NCI-H1838,0.0
NCI-H1869,0.0
NCI-H1915,0.0
NCI-H1944,0.0
NCI-H1975,0.0
NCI-H1993,0.0
NCI-H2009,0.0
NCI-H2023,0.0
NCI-H2030,0.0
NCI-H2085,0.0
NCI-H2087,0.0
NCI-H2110,0.0
NCI-H2122,0.0
NCI-H2135,0.0
NCI-H2170,0.0
NCI-H2172,0.0
NCI-H2228,0.0
NCI-H226,0.0
NCI-H2291,0.0
NCI-H23,0.0
NCI-H2342,0.0
NCI-H2347,0.0
NCI-H2405,0.0
NCI-H2444,0.0
NCI-H292,0.0
NCI-H3122,0.0
NCI-H322M,0.0
NCI-H358,0.0
NCI-H441,0.0
NCI-H460,0.0
NCI-H520,0.0
NCI-H522,0.0
NCI-H596,0.0
NCI-H647,0.0
NCI-H650,0.0
NCI-H661,0.0
NCI-H720,0.0
NCI-H727,0.0
NCI-H810,0.0
NCI-H835,0.0
NCI-H838,0.0
PC-14,0.0
PC-3_[JPC-3],0.0
RERF-LC-KJ,0.0
RERF-LC-MS,0.0
RERF-LC-Sq1,0.0
SK-LU-1,0.0
SK-MES-1,0.0
SW1573,0.0
UMC-11,0.0
VMRC-LCD,0.0
