Cell_Line,Z_Score_Threshold,N_total,N_sensitive,N_resistant,Pct_sensitive
A427,-1.0,387,62,325,16.02
A549,-1.0,402,51,351,12.69
ABC-1,-1.0,386,36,350,9.33
BEN,-1.0,344,16,328,4.65
CAL-12T,-1.0,349,53,296,15.19
COR-L105,-1.0,397,46,351,11.59
COR-L23,-1.0,402,23,379,5.72
Calu-3,-1.0,402,18,384,4.48
Calu-6,-1.0,424,22,402,5.19
ChaGo-K-1,-1.0,344,11,333,3.2
EBC-1,-1.0,398,39,359,9.8
EKVX,-1.0,418,11,407,2.63
EMC-BAC-1,-1.0,317,33,284,10.41
EMC-BAC-2,-1.0,375,46,329,12.27
EPLC-272H,-1.0,403,77,326,19.11
H3255,-1.0,384,28,356,7.29
HARA,-1.0,402,37,365,9.2
HCC-15,-1.0,403,20,383,4.96
HCC-366,-1.0,256,9,247,3.52
HCC-44,-1.0,393,87,306,22.14
HCC-78,-1.0,400,50,350,12.5
HCC-827,-1.0,396,28,368,7.07
HOP-62,-1.0,424,44,380,10.38
HOP-92,-1.0,355,13,342,3.66
IA-LM,-1.0,418,18,400,4.31
KNS-62,-1.0,308,24,284,7.79
LC-1-sq,-1.0,359,14,345,3.9
LC-2-ad,-1.0,368,85,283,23.1
LCLC-103H,-1.0,396,14,382,3.54
LCLC-97TM1,-1.0,402,73,329,18.16
LK-2,-1.0,400,45,355,11.25
LOU-NH91,-1.0,402,17,385,4.23
LU-65,-1.0,428,10,418,2.34
LU-99A,-1.0,395,28,367,7.09
LXF-289,-1.0,428,66,362,15.42
NCI-H1155,-1.0,427,32,395,7.49
NCI-H1299,-1.0,406,19,387,4.68
NCI-H1355,-1.0,428,30,398,7.01
NCI-H1435,-1.0,396,12,384,3.03
NCI-H1437,-1.0,346,36,310,10.4
NCI-H1563,-1.0,402,24,378,5.97
NCI-H1568,-1.0,403,21,382,5.21
NCI-H1573,-1.0,333,11,322,3.3
NCI-H1581,-1.0,423,55,368,13.0
NCI-H1623,-1.0,403,33,370,8.19
NCI-H1648,-1.0,365,60,305,16.44
NCI-H1650,-1.0,418,9,409,2.15
NCI-H1651,-1.0,402,26,376,6.47
NCI-H1666,-1.0,422,14,408,3.32
NCI-H1693,-1.0,352,5,347,1.42
NCI-H1703,-1.0,333,53,280,15.92
NCI-H1734,-1.0,326,26,300,7.98
NCI-H1755,-1.0,402,54,348,13.43
NCI-H1770,-1.0,373,25,348,6.7
NCI-H1781,-1.0,403,33,370,8.19
NCI-H1792,-1.0,401,41,360,10.22
NCI-H1793,-1.0,396,6,390,1.52
NCI-H1838,-1.0,361,1,360,0.28
NCI-H1869,-1.0,418,21,397,5.02
NCI-H1915,-1.0,403,17,386,4.22
NCI-H1944,-1.0,403,49,354,12.16
NCI-H1975,-1.0,428,59,369,13.79
NCI-H1993,-1.0,401,13,388,3.24
NCI-H2009,-1.0,332,16,316,4.82
NCI-H2023,-1.0,394,20,374,5.08
NCI-H2030,-1.0,342,36,306,10.53
NCI-H2085,-1.0,374,25,349,6.68
NCI-H2087,-1.0,401,23,378,5.74
NCI-H2110,-1.0,348,36,312,10.34
NCI-H2122,-1.0,401,95,306,23.69
NCI-H2135,-1.0,408,13,395,3.19
NCI-H2170,-1.0,396,23,373,5.81
NCI-H2172,-1.0,342,9,333,2.63
NCI-H2228,-1.0,394,25,369,6.35
NCI-H226,-1.0,428,8,420,1.87
NCI-H2291,-1.0,348,15,333,4.31
NCI-H23,-1.0,424,36,388,8.49
NCI-H2342,-1.0,331,31,300,9.37
NCI-H2347,-1.0,339,17,322,5.01
NCI-H2405,-1.0,398,10,388,2.51
NCI-H2444,-1.0,343,2,341,0.58
NCI-H292,-1.0,348,112,236,32.18
NCI-H3122,-1.0,390,35,355,8.97
NCI-H322M,-1.0,424,29,395,6.84
NCI-H358,-1.0,397,33,364,8.31
NCI-H441,-1.0,402,4,398,1.0
NCI-H460,-1.0,343,62,281,18.08
NCI-H520,-1.0,397,44,353,11.08
NCI-H522,-1.0,390,17,373,4.36
NCI-H596,-1.0,398,4,394,1.01
NCI-H647,-1.0,341,53,288,15.54
NCI-H650,-1.0,403,12,391,2.98
NCI-H661,-1.0,398,24,374,6.03
NCI-H720,-1.0,422,37,385,8.77
NCI-H727,-1.0,397,20,377,5.04
NCI-H810,-1.0,401,48,353,11.97
NCI-H835,-1.0,219,16,203,7.31
NCI-H838,-1.0,343,34,309,9.91
PC-14,-1.0,404,44,360,10.89
PC-3_[JPC-3],-1.0,333,21,312,6.31
RERF-LC-KJ,-1.0,403,23,380,5.71
RERF-LC-MS,-1.0,347,30,317,8.65
RERF-LC-Sq1,-1.0,400,21,379,5.25
SK-LU-1,-1.0,398,23,375,5.78
SK-MES-1,-1.0,403,35,368,8.68
SW1573,-1.0,402,2,400,0.5
UMC-11,-1.0,396,33,363,8.33
VMRC-LCD,-1.0,271,13,258,4.8
