Cell_Line,Threshold
A427,-1.0
A549,-1.0
ABC-1,-1.0
BEN,-1.0
CAL-12T,-1.0
COR-L105,-1.0
COR-L23,-1.0
Calu-3,-1.0
Calu-6,-1.0
ChaGo-K-1,-1.0
EBC-1,-1.0
EKVX,-1.0
EMC-BAC-1,-1.0
EMC-BAC-2,-1.0
EPLC-272H,-1.0
H3255,-1.0
HARA,-1.0
HCC-15,-1.0
HCC-366,-1.0
HCC-44,-1.0
HCC-78,-1.0
HCC-827,-1.0
HOP-62,-1.0
HOP-92,-1.0
IA-LM,-1.0
KNS-62,-1.0
LC-1-sq,-1.0
LC-2-ad,-1.0
LCLC-103H,-1.0
LCLC-97TM1,-1.0
LK-2,-1.0
LOU-NH91,-1.0
LU-65,-1.0
LU-99A,-1.0
LXF-289,-1.0
NCI-H1155,-1.0
NCI-H1299,-1.0
NCI-H1355,-1.0
NCI-H1435,-1.0
NCI-H1437,-1.0
NCI-H1563,-1.0
NCI-H1568,-1.0
NCI-H1573,-1.0
NCI-H1581,-1.0
NCI-H1623,-1.0
NCI-H1648,-1.0
NCI-H1650,-1.0
NCI-H1651,-1.0
NCI-H1666,-1.0
NCI-H1693,-1.0
NCI-H1703,-1.0
NCI-H1734,-1.0
NCI-H1755,-1.0
NCI-H1770,-1.0
NCI-H1781,-1.0
NCI-H1792,-1.0
NCI-H1793,-1.0
NCI-H1838,-1.0
NCI-H1869,-1.0
NCI-H1915,-1.0
NCI-H1944,-1.0
NCI-H1975,-1.0
NCI-H1993,-1.0
NCI-H2009,-1.0
NCI-H2023,-1.0
NCI-H2030,-1.0
NCI-H2085,-1.0
NCI-H2087,-1.0
NCI-H2110,-1.0
NCI-H2122,-1.0
NCI-H2135,-1.0
NCI-H2170,-1.0
NCI-H2172,-1.0
NCI-H2228,-1.0
NCI-H226,-1.0
NCI-H2291,-1.0
NCI-H23,-1.0
NCI-H2342,-1.0
NCI-H2347,-1.0
NCI-H2405,-1.0
NCI-H2444,-1.0
NCI-H292,-1.0
NCI-H3122,-1.0
NCI-H322M,-1.0
NCI-H358,-1.0
NCI-H441,-1.0
NCI-H460,-1.0
NCI-H520,-1.0
NCI-H522,-1.0
NCI-H596,-1.0
NCI-H647,-1.0
NCI-H650,-1.0
NCI-H661,-1.0
NCI-H720,-1.0
NCI-H727,-1.0
NCI-H810,-1.0
NCI-H835,-1.0
NCI-H838,-1.0
PC-14,-1.0
PC-3_[JPC-3],-1.0
RERF-LC-KJ,-1.0
RERF-LC-MS,-1.0
RERF-LC-Sq1,-1.0
SK-LU-1,-1.0
SK-MES-1,-1.0
SW1573,-1.0
UMC-11,-1.0
VMRC-LCD,-1.0
