Cell_Line,N_train,N_test,Pct_sensitive,Overall_AUC,Mean_CLASS_LAG,Median_CLASS_LAG,Pct_confident_20pct,Pct_confident_30pct,AUC_cov010,AUC_cov020,AUC_cov030,AUC_cov040,AUC_cov050,AUC_cov060,AUC_cov070,AUC_cov080,AUC_cov090,AUC_cov100
A427,309,78,60.21,0.5443,0.3705,0.395,5.13,20.51,0.7,0.7381,0.6643,0.6336,0.6318,0.6491,0.6345,0.6042,0.5478,0.5443
A549,321,81,48.76,0.5391,0.3838,0.4,2.47,13.58,0.5,0.6286,0.6167,0.6434,0.631,0.6233,0.5911,0.565,0.5515,0.5391
ABC-1,308,78,43.52,0.503,0.3697,0.375,5.13,21.79,0.9375,0.6406,0.6049,0.5196,0.5368,0.5217,0.5377,0.5116,0.498,0.503
BEN,275,69,29.36,0.5466,0.2804,0.28,24.64,53.62,0.4167,0.6625,0.5765,0.5234,0.452,0.5292,0.4867,0.4953,0.5074,0.5466
CAL-12T,279,70,59.6,0.5826,0.3687,0.38,8.57,21.43,0.8333,0.4444,0.5385,0.5333,0.6133,0.6281,0.5944,0.5814,0.5613,0.5826
COR-L105,317,80,44.08,0.7161,0.3503,0.385,18.75,32.5,1.0,0.925,0.8786,0.8229,0.7827,0.7639,0.7574,0.7485,0.7329,0.7161
COR-L23,321,81,53.48,0.5361,0.3732,0.39,6.17,20.99,0.5357,0.625,0.5868,0.5564,0.558,0.564,0.5506,0.5312,0.5211,0.5361
Calu-3,321,81,23.13,0.7148,0.2075,0.19,51.85,79.01,,1.0,0.7727,0.6509,0.7017,0.6611,0.6824,0.7175,0.6763,0.7148
Calu-6,339,85,37.26,0.5262,0.3534,0.37,5.88,28.24,0.7,0.6286,0.5531,0.5057,0.4569,0.45,0.5069,0.4671,0.5411,0.5262
ChaGo-K-1,275,69,27.91,0.6885,0.2432,0.23,37.68,76.81,0.5,0.5208,0.5648,0.6261,0.6224,0.6719,0.6441,0.6114,0.6362,0.6885
EBC-1,318,80,46.23,0.6026,0.3806,0.4,6.25,13.75,1.0,0.7436,0.6053,0.5964,0.6146,0.5939,0.5889,0.6,0.607,0.6026
EKVX,334,84,14.35,0.6453,0.1306,0.12,88.1,94.05,0.625,0.4333,0.471,0.6399,0.4977,0.5305,0.4522,0.5598,0.5794,0.6453
EMC-BAC-1,253,64,52.05,0.5544,0.3695,0.41,9.38,20.31,0.3333,0.6389,0.6406,0.5937,0.5725,0.56,0.5388,0.521,0.5322,0.5544
EMC-BAC-2,300,75,59.73,0.6221,0.3568,0.36,4.0,28.0,0.8333,0.7037,0.5759,0.6325,0.6826,0.6615,0.622,0.6354,0.625,0.6221
EPLC-272H,322,81,68.24,0.625,0.2756,0.26,33.33,59.26,0.8889,0.6667,0.5395,0.6019,0.6193,0.562,0.5307,0.6253,0.6491,0.625
H3255,307,77,23.96,0.5107,0.2078,0.21,45.45,75.32,0.7188,0.4603,0.4,0.425,0.3873,0.3179,0.3293,0.4601,0.467,0.5107
HARA,321,81,58.71,0.6294,0.358,0.38,8.64,24.69,0.6111,0.6833,0.6765,0.6019,0.636,0.6411,0.648,0.6104,0.6296,0.6294
HCC-15,322,81,27.79,0.6407,0.2632,0.28,20.99,61.73,0.475,0.3,0.18,0.1286,0.3109,0.4097,0.5093,0.5925,0.6506,0.6407
HCC-366,204,52,22.66,0.4792,0.1612,0.15,67.31,92.31,,0.875,0.7636,0.6735,0.6144,0.4541,0.5483,0.5523,0.5565,0.4792
HCC-44,314,79,67.68,0.5391,0.3359,0.35,8.86,35.44,0.1429,0.5385,0.3333,0.4963,0.4902,0.5625,0.6496,0.5625,0.5306,0.5391
HCC-78,320,80,60.75,0.5909,0.3661,0.38,3.75,20.0,0.2667,0.3828,0.3889,0.4896,0.4729,0.5283,0.6122,0.5563,0.5477,0.5909
HCC-827,316,80,26.01,0.5987,0.2492,0.25,33.75,68.75,1.0,0.8229,0.7437,0.6329,0.555,0.5172,0.5215,0.5612,0.5839,0.5987
HOP-62,339,85,49.76,0.5148,0.4041,0.43,2.35,9.41,0.725,0.7786,0.6939,0.6596,0.613,0.594,0.5633,0.5508,0.5259,0.5148
