Cell_Line,N_train,N_test,Pct_sensitive,Overall_AUC,Mean_CLASS_LAG,Median_CLASS_LAG,Pct_confident_20pct,Pct_confident_30pct,AUC_cov010,AUC_cov020,AUC_cov030,AUC_cov040,AUC_cov050,AUC_cov060,AUC_cov070,AUC_cov080,AUC_cov090,AUC_cov100
A427,309,78,60.21,0.5802,0.3696,0.375,3.85,25.64,0.7188,0.6587,0.6259,0.6397,0.5971,0.6039,0.6218,0.6027,0.6195,0.5802
A549,321,81,48.76,0.5885,0.3795,0.39,3.7,13.58,0.5,0.6929,0.7403,0.7371,0.7179,0.6925,0.6543,0.629,0.6126,0.5885
ABC-1,308,78,43.52,0.511,0.3765,0.38,2.56,12.82,0.9062,0.7857,0.6493,0.6255,0.5921,0.5607,0.5351,0.5243,0.5077,0.511
BEN,275,69,29.36,0.624,0.2875,0.28,14.49,50.72,0.75,0.7083,0.8222,0.725,0.688,0.6389,0.5812,0.6456,0.5969,0.624
CAL-12T,279,70,59.6,0.5629,0.3824,0.41,5.71,17.14,0.8333,0.5667,0.5408,0.5417,0.575,0.5721,0.5589,0.5622,0.5722,0.5629
COR-L105,317,80,44.08,0.7251,0.352,0.385,16.25,30.0,0.9,0.9127,0.8407,0.8104,0.772,0.7519,0.7576,0.7477,0.7492,0.7251
COR-L23,321,81,53.48,0.5529,0.376,0.4,4.94,17.28,0.3214,0.5076,0.6076,0.5796,0.6135,0.6061,0.5802,0.5696,0.5732,0.5529
Calu-3,321,81,23.13,0.7384,0.2188,0.2,46.91,71.6,0.875,0.4688,0.3125,0.7457,0.675,0.75,0.7701,0.6912,0.7378,0.7384
Calu-6,339,85,37.26,0.5212,0.3562,0.38,8.24,29.41,0.675,0.4583,0.3791,0.4308,0.5202,0.5354,0.4711,0.4941,0.5634,0.5212
ChaGo-K-1,275,69,27.91,0.6176,0.2391,0.23,36.23,75.36,0.6667,0.625,0.5918,0.3946,0.4573,0.478,0.39,0.3864,0.5492,0.6176
