Cell_Line,N_train,N_test,N_models,Pct_sensitive,Consensus_AUC,AUC_AVALON_RF,AUC_AVALON_LR,AUC_AVALON_SVM,AUC_AVALON_XGB,AUC_ECFP_RF,AUC_ECFP_LR,AUC_ECFP_SVM,AUC_ECFP_XGB,AUC_MACCS_RF,AUC_MACCS_LR,AUC_MACCS_SVM,AUC_MACCS_XGB,Mean_CLASS_LAG,Mean_CONS_STD,Mean_CONS_STD_PROB,Pct_AD_STD_lt010,Pct_AD_STD_lt020,CL_cov010,CL_cov020,CL_cov030,CL_cov040,CL_cov050,CL_cov060,CL_cov070,CL_cov080,CL_cov090,CL_cov100,CS_cov010,CS_cov020,CS_cov030,CS_cov040,CS_cov050,CS_cov060,CS_cov070,CS_cov080,CS_cov090,CS_cov100,CSP_cov010,CSP_cov020,CSP_cov030,CSP_cov040,CSP_cov050,CSP_cov060,CSP_cov070,CSP_cov080,CSP_cov090,CSP_cov100
A427,309,78,12,38.24,0.5428,0.5323,0.5611,0.5822,0.5788,0.7398,0.6067,0.3424,0.5713,0.5207,0.4022,0.4293,0.517,0.3537,0.2222,0.2609,0.0,39.74,0.5,0.6727,0.7286,0.6356,0.6168,0.6015,0.5758,0.5738,0.5715,0.5428,0.9333,0.8254,0.7786,0.702,0.5936,0.6377,0.5309,0.5509,0.5685,0.5428,0.5,0.6727,0.7143,0.6706,0.606,0.6015,0.5771,0.5738,0.5715,0.5428
A549,321,81,12,28.86,0.4554,0.5,0.4364,0.5117,0.4503,0.4905,0.527,0.4766,0.5051,0.4444,0.4868,0.473,0.473,0.2413,0.1806,0.1246,13.58,60.49,0.5,0.5139,0.2569,0.3651,0.3269,0.3627,0.3338,0.3162,0.4158,0.4554,0.4,0.5,0.3961,0.2851,0.3187,0.3412,0.4174,0.4675,0.467,0.4554,0.3,0.5139,0.4091,0.2934,0.3104,0.3082,0.3779,0.3582,0.4447,0.4554
ABC-1,308,78,12,21.76,0.3857,0.4349,0.4108,0.5863,0.4687,0.3337,0.4995,0.5333,0.4253,0.4542,0.3799,0.6258,0.4465,0.2383,0.1904,0.1245,6.41,53.85,0.2857,0.6545,0.5462,0.5169,0.4483,0.5023,0.4512,0.4588,0.392,0.3857,0.6667,0.5714,0.5625,0.4541,0.4805,0.4729,0.4355,0.4455,0.3909,0.3857,0.6,0.7167,0.6016,0.4928,0.5,0.4887,0.4066,0.4588,0.392,0.3857
BEN,275,69,12,12.79,0.5593,0.4583,0.4833,0.513,0.3907,0.6269,0.6241,0.5574,0.6074,0.5861,0.5741,0.5722,0.5648,0.1271,0.1168,0.0453,62.32,84.06,,0.625,0.6324,0.4479,0.3468,0.427,0.3591,0.4267,0.5409,0.5593,,0.7879,0.6029,0.4479,0.3468,0.2829,0.3591,0.3098,0.4821,0.5593,0.8,0.7273,0.6029,0.4479,0.3468,0.2829,0.3591,0.3098,0.5409,0.5593
CAL-12T,279,70,12,34.1,0.5997,0.5953,0.5236,0.5944,0.5341,0.7124,0.6355,0.5533,0.6783,0.5787,0.4974,0.479,0.4895,0.3031,0.2072,0.1978,0.0,45.71,0.5,0.5833,0.4712,0.35,0.4811,0.5204,0.5208,0.5219,0.571,0.5997,0.6667,0.5333,0.3673,0.4327,0.4697,0.523,0.5322,0.5424,0.5761,0.5997,0.9,0.5833,0.3673,0.2449,0.4773,0.5179,0.5189,0.5548,0.571,0.5997
COR-L105,317,80,12,25.94,0.5933,0.6661,0.6685,0.6959,0.6317,0.6191,0.511,0.5854,0.5823,0.6348,0.5,0.5909,0.5964,0.2034,0.1602,0.0859,26.25,66.25,0.5714,0.6042,0.3625,0.6667,0.6607,0.5912,0.6172,0.6292,0.566,0.5933,0.75,0.4615,0.6111,0.5781,0.6082,0.5956,0.6031,0.5894,0.5913,0.5933,0.8333,0.4615,0.6667,0.5677,0.6207,0.6261,0.6109,0.5707,0.5933,0.5933
COR-L23,321,81,12,24.13,0.4833,0.5675,0.4865,0.5833,0.4754,0.5056,0.4762,0.4889,0.4841,0.4853,0.4413,0.5468,0.4714,0.2351,0.1864,0.1295,9.88,58.02,0.4286,0.6515,0.5441,0.37,0.4258,0.4572,0.4984,0.4528,0.4545,0.4833,,0.3,0.44,0.365,0.3542,0.4414,0.5076,0.4975,0.4667,0.4833,0.0,0.3333,0.36,0.37,0.4194,0.4979,0.4984,0.4902,0.4545,0.4833
Calu-3,321,81,12,10.7,0.7975,0.789,0.7828,0.7161,0.759,0.7064,0.6686,0.6855,0.6663,0.7868,0.7907,0.7794,0.7545,0.0965,0.0993,0.0348,69.14,83.95,,,0.7917,0.5938,0.475,0.8111,0.7538,0.7175,0.7587,0.7975,,0.875,0.75,0.5938,0.7308,0.8,0.7538,0.7586,0.725,0.7975,,1.0,0.7391,0.7419,0.7308,0.8,0.7538,0.766,0.7192,0.7975
Calu-6,339,85,12,18.16,0.4602,0.535,0.4438,0.5009,0.5112,0.5467,0.4567,0.5104,0.5182,0.5666,0.4715,0.5156,0.4939,0.1628,0.1421,0.0522,42.35,80.0,0.5,0.2333,0.675,0.6578,0.5394,0.5342,0.434,0.463,0.4764,0.4602,0.2143,0.4286,0.5333,0.5185,0.5424,0.5628,0.5217,0.5006,0.5137,0.4602,0.3571,0.4762,0.5619,0.5185,0.5,0.5749,0.5311,0.4603,0.4764,0.4602
ChaGo-K-1,275,69,12,11.92,0.6762,0.7059,0.7561,0.3361,0.5717,0.541,0.4939,0.5574,0.5963,0.5594,0.7377,0.4098,0.4016,0.1067,0.1133,0.0272,65.22,82.61,0.3333,0.1538,0.1,0.5,0.3939,0.547,0.5944,0.6196,0.614,0.6762,,0.6923,0.75,0.8269,0.5729,0.5043,0.4638,0.4025,0.5448,0.6762,,0.8462,0.75,0.7407,0.5833,0.5128,0.4638,0.5144,0.614,0.6762
