Metric,Value
Source script,gdsc_consensus_AD_z075.py
Source results,/home/medicina/GDSC_ANALYSIS/results/z0.75_weighted/gdsc_weighted_results_20260522_140030.csv
Z_THRESHOLD,-0.75
AD method,CONS-STD-PROB (Sushko 2010)
Fingerprints,"AVALON, ECFP, MACCS"
Algorithms,"RF, LR, SVM, XGB"
Ensemble size,12 (3 FP x 4 algo)
sample_weight,balanced
Cell lines,105
Mean % sensitive,13.3
Consensus AUC (100%),0.5815
Mean CONS-STD,0.1144
% CONS-STD < 0.10,58.1
% CONS-STD < 0.20,78.0
Best CLASS-LAG AUC,0.5815
Best CONS-STD AUC,0.5815
Best CONS-STD-PROB AUC (CSP_cov100),0.5815
Baseline AUC (100%),0.5815
Max AUC gain,0.0
Mean AUC 10% — CLASS-LAG,0.5421
Mean AUC 10% — CONS-STD,0.5308
Mean AUC 10% — CONS-STD-PROB,0.4622
Mean AUC 20% — CLASS-LAG,0.5419
Mean AUC 20% — CONS-STD,0.5373
Mean AUC 20% — CONS-STD-PROB,0.5288
Mean AUC 30% — CLASS-LAG,0.5453
Mean AUC 30% — CONS-STD,0.5446
Mean AUC 30% — CONS-STD-PROB,0.5576
Mean AUC 40% — CLASS-LAG,0.5087
Mean AUC 40% — CONS-STD,0.5439
Mean AUC 40% — CONS-STD-PROB,0.5471
Mean AUC 50% — CLASS-LAG,0.5215
Mean AUC 50% — CONS-STD,0.5353
Mean AUC 50% — CONS-STD-PROB,0.534
Mean AUC 60% — CLASS-LAG,0.5296
Mean AUC 60% — CONS-STD,0.5444
Mean AUC 60% — CONS-STD-PROB,0.5342
Mean AUC 70% — CLASS-LAG,0.5443
Mean AUC 70% — CONS-STD,0.5446
Mean AUC 70% — CONS-STD-PROB,0.5439
Mean AUC 80% — CLASS-LAG,0.5472
Mean AUC 80% — CONS-STD,0.5503
Mean AUC 80% — CONS-STD-PROB,0.5483
Mean AUC 90% — CLASS-LAG,0.5536
Mean AUC 90% — CONS-STD,0.5622
Mean AUC 90% — CONS-STD-PROB,0.5567
Mean AUC 100% — CLASS-LAG,0.5815
Mean AUC 100% — CONS-STD,0.5815
Mean AUC 100% — CONS-STD-PROB,0.5815
