Coverage_pct,Mean_AUC_CLASS_LAG,Mean_AUC_CONS_STD,Mean_AUC_CONS_STD_PROB,N_valid_celllines
1,0.7692,0.4186,0.6579,38
2,0.7692,0.4186,0.6579,38
3,0.629,0.4462,0.6455,55
4,0.5892,0.4484,0.6218,65
5,0.5485,0.481,0.5637,68
6,0.5537,0.501,0.5587,73
7,0.5476,0.527,0.5622,82
8,0.5331,0.5166,0.5492,86
9,0.548,0.5151,0.5362,93
10,0.5618,0.5231,0.5358,94
20,0.5383,0.5274,0.5369,106
30,0.5353,0.5249,0.5351,108
40,0.545,0.5288,0.5304,108
50,0.5541,0.5523,0.5502,108
60,0.5569,0.5464,0.5495,108
70,0.553,0.5492,0.5519,108
80,0.5553,0.5503,0.5552,108
90,0.5568,0.5569,0.556,108
100,0.559,0.559,0.559,108
