Coverage_pct,Mean_AUC_CLASS_LAG,Mean_AUC_CONS_STD,Mean_AUC_CONS_STD_PROB,N_valid_celllines
1,0.6429,0.46,0.6923,39
2,0.6429,0.46,0.6923,39
3,0.6186,0.5,0.55,60
4,0.5701,0.4976,0.5643,70
5,0.5614,0.4797,0.5644,75
6,0.5229,0.5036,0.5475,78
7,0.521,0.514,0.5702,84
8,0.5453,0.5361,0.576,91
9,0.5662,0.5234,0.5598,95
10,0.5954,0.5422,0.561,97
20,0.5592,0.5481,0.5703,107
30,0.5502,0.5502,0.5551,108
40,0.5488,0.5528,0.5431,108
50,0.5529,0.5596,0.5479,108
60,0.5473,0.5499,0.5545,108
70,0.5491,0.5488,0.5456,108
80,0.5506,0.553,0.5478,108
90,0.5555,0.5547,0.5559,108
100,0.5596,0.5596,0.5596,108
