Cell_Line,N_train,N_test,N_models,Pct_sensitive,Consensus_AUC,AUC_AVALON_RF,AUC_AVALON_LR,AUC_AVALON_SVM,AUC_AVALON_XGB,AUC_ECFP_RF,AUC_ECFP_LR,AUC_ECFP_SVM,AUC_ECFP_XGB,AUC_MACCS_RF,AUC_MACCS_LR,AUC_MACCS_SVM,AUC_MACCS_XGB,Mean_CLASS_LAG,Mean_CONS_STD,Mean_CONS_STD_PROB,Pct_AD_STD_lt010,Pct_AD_STD_lt020,CL_cov001,CL_cov002,CL_cov003,CL_cov004,CL_cov005,CL_cov006,CL_cov007,CL_cov008,CL_cov009,CL_cov010,CL_cov020,CL_cov030,CL_cov040,CL_cov050,CL_cov060,CL_cov070,CL_cov080,CL_cov090,CL_cov100,CS_cov001,CS_cov002,CS_cov003,CS_cov004,CS_cov005,CS_cov006,CS_cov007,CS_cov008,CS_cov009,CS_cov010,CS_cov020,CS_cov030,CS_cov040,CS_cov050,CS_cov060,CS_cov070,CS_cov080,CS_cov090,CS_cov100,CSP_cov001,CSP_cov002,CSP_cov003,CSP_cov004,CSP_cov005,CSP_cov006,CSP_cov007,CSP_cov008,CSP_cov009,CSP_cov010,CSP_cov020,CSP_cov030,CSP_cov040,CSP_cov050,CSP_cov060,CSP_cov070,CSP_cov080,CSP_cov090,CSP_cov100
A427,309,78,12,60.21,0.5628,0.5944,0.5948,0.3849,0.5926,0.589,0.5229,0.4009,0.5621,0.5142,0.4481,0.5069,0.5018,0.3398,0.2159,0.2383,0.0,41.03,1.0,1.0,0.5,0.3333,0.3333,0.25,0.2,0.6,0.5,0.5,0.5667,0.5259,0.4632,0.4675,0.4729,0.4439,0.5081,0.5617,0.5628,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.5,0.4667,0.4667,0.4667,0.3697,0.4286,0.5083,0.4839,0.55,0.5351,0.513,0.5628,,,0.0,0.3333,0.3333,0.6667,0.625,0.6,0.5833,0.5833,0.6825,0.5259,0.4632,0.4198,0.4729,0.4439,0.4833,0.5452,0.5628
A549,321,81,12,48.76,0.5519,0.5812,0.5201,0.5818,0.5379,0.5586,0.4664,0.5351,0.5983,0.5024,0.5788,0.536,0.5495,0.3605,0.2137,0.2694,0.0,40.74,,,0.5,0.6667,0.75,0.75,0.625,0.6,0.6,0.6111,0.6857,0.6987,0.6111,0.6452,0.6167,0.5874,0.5881,0.5571,0.5519,,,,,,,,0.8333,0.8333,0.8571,0.5758,0.6603,0.6544,0.6048,0.6,0.5505,0.5729,0.5664,0.5519,,,0.5,0.6667,0.6667,0.6667,0.625,0.6,0.5833,0.5714,0.6571,0.641,0.6581,0.6405,0.5953,0.5985,0.5767,0.5668,0.5519
ABC-1,308,78,12,43.52,0.511,0.5027,0.5003,0.5316,0.4854,0.5382,0.5302,0.4744,0.5761,0.5136,0.4817,0.4983,0.5608,0.3696,0.2188,0.2829,0.0,35.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9167,0.875,0.875,0.7969,0.6667,0.5765,0.5423,0.5238,0.5148,0.5396,0.5327,0.511,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.3333,0.3333,0.5833,0.5804,0.4805,0.4492,0.4492,0.528,0.5373,0.5136,0.511,,,1.0,1.0,1.0,0.8333,0.875,0.8333,0.8,0.8,0.8333,0.7357,0.6094,0.5423,0.522,0.5387,0.5396,0.5327,0.511
BEN,275,69,12,29.36,0.6528,0.6176,0.5258,0.6448,0.5744,0.6329,0.6577,0.631,0.5883,0.6359,0.6151,0.3829,0.6706,0.2568,0.1903,0.1354,0.0,57.97,,,,,,,,1.0,0.8333,0.8333,0.697,0.4259,0.5478,0.662,0.6804,0.6059,0.6341,0.6125,0.6528,,,,,,,,1.0,1.0,1.0,0.8182,0.6,0.725,0.728,0.6944,0.5833,0.6625,0.677,0.6528,,,,,,,,,,,0.5455,0.675,0.6288,0.6528,0.7167,0.6474,0.5969,0.6125,0.6528
CAL-12T,279,70,12,59.6,0.574,0.5604,0.5123,0.4424,0.6069,0.5436,0.6234,0.5863,0.588,0.5724,0.4638,0.5189,0.6201,0.3434,0.2196,0.2504,0.0,38.57,1.0,1.0,1.0,1.0,0.5,0.3333,0.3333,0.5556,0.4167,0.4167,0.5208,0.537,0.5312,0.5822,0.5675,0.5769,0.5744,0.5602,0.574,0.0,0.0,0.5,0.5,0.6667,0.75,0.75,0.5,0.6,0.6,0.6042,0.6273,0.5487,0.5654,0.5208,0.5289,0.556,0.5694,0.574,1.0,1.0,1.0,1.0,1.0,0.6667,0.6667,0.75,0.5833,0.5833,0.5208,0.6909,0.5795,0.5433,0.5417,0.5539,0.5535,0.5602,0.574
COR-L105,317,80,12,44.08,0.6988,0.7331,0.6368,0.6957,0.7136,0.7168,0.6669,0.6777,0.6841,0.6809,0.5723,0.601,0.7008,0.3119,0.1961,0.2132,5.0,53.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9833,0.8857,0.8125,0.7852,0.7296,0.6889,0.6896,0.6851,0.6988,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.8951,0.8413,0.7801,0.7446,0.7032,0.6927,0.6979,0.6988,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9833,0.8741,0.8381,0.7698,0.7296,0.702,0.6885,0.6851,0.6988
COR-L23,321,81,12,53.48,0.5404,0.5447,0.5373,0.4731,0.5551,0.5055,0.4914,0.4804,0.5251,0.4691,0.5502,0.5177,0.4927,0.3563,0.2187,0.264,0.0,35.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.5,0.5833,0.5649,0.5919,0.5502,0.519,0.5337,0.5474,0.5451,0.5404,1.0,1.0,1.0,0.5,0.6667,0.6667,0.625,0.6,0.4,0.5,0.5,0.6039,0.5741,0.5167,0.5383,0.5481,0.5762,0.5564,0.5404,,,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.5,0.5,0.5714,0.5519,0.5519,0.5526,0.5323,0.5471,0.5474,0.54,0.5404
Calu-3,321,81,12,23.13,0.7144,0.7474,0.6567,0.7691,0.6507,0.6274,0.6447,0.6439,0.7826,0.6792,0.6417,0.6927,0.6139,0.1818,0.154,0.0697,30.86,74.07,,,,,,,,,,,0.9,0.7738,0.679,0.6439,0.5183,0.5988,0.6289,0.6408,0.7144,,,,,,,,,,0.625,0.6667,0.81,0.6543,0.5336,0.5183,0.5889,0.5487,0.6636,0.7144,,,,,,,,,,1.0,0.8,0.81,0.6923,0.5672,0.5778,0.5929,0.5917,0.6408,0.7144
Calu-6,339,85,12,37.26,0.4932,0.5154,0.4587,0.5517,0.5049,0.4557,0.5123,0.4883,0.5302,0.5671,0.5111,0.4951,0.5043,0.3428,0.2162,0.2454,0.0,42.35,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.4792,0.4862,0.5741,0.5202,0.5711,0.485,0.4662,0.4932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2667,0.2,0.2727,0.5,0.4585,0.4769,0.4723,0.5084,0.5201,0.5052,0.4932,,,0.0,0.0,0.0,0.125,0.125,0.1667,0.1875,0.15,0.3333,0.5069,0.5379,0.5167,0.5202,0.5104,0.485,0.4662,0.4932
ChaGo-K-1,275,69,12,27.91,0.7183,0.63,0.5556,0.626,0.5804,0.5992,0.5744,0.6478,0.6429,0.6944,0.6349,0.6687,0.7371,0.2117,0.1569,0.0823,11.59,76.81,0.0,0.0,0.5,0.5,0.25,0.1667,0.1667,0.125,0.1,0.1,0.3636,0.2222,0.4609,0.4483,0.5257,0.5564,0.5739,0.6423,0.7183,,,,,0.3333,0.5,0.5,0.3333,0.4167,0.4167,0.375,0.3529,0.4174,0.5153,0.4612,0.5538,0.572,0.6739,0.7183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.4167,0.4167,0.45,0.3824,0.3438,0.4483,0.5331,0.559,0.5739,0.6423,0.7183
