Metric,Value
Source script,gdsc_consensus_AD_z0_unwt.py
Source results,/home/medicina/GDSC_ANALYSIS/results/z0_unweighted/gdsc_unweighted_results_20260522_154422.csv
Z_THRESHOLD,0.0
AD method,CONS-STD-PROB (Sushko 2010)
Fingerprints,"AVALON, ECFP, MACCS"
Algorithms,"RF, LR, SVM, XGB"
Ensemble size,12 (3 FP x 4 algo)
sample_weight,none (unweighted)
Cell lines,108
Mean % sensitive,37.6
Consensus AUC (100%),0.5596
Mean CONS-STD,0.1843
% CONS-STD < 0.10,12.6
% CONS-STD < 0.20,56.3
Best CLASS-LAG AUC,0.6429
Best CONS-STD AUC,0.5596
Best CONS-STD-PROB AUC (CSP_cov001),0.6923
Baseline AUC (100%),0.5596
Max AUC gain,0.1327
Mean AUC 1% — CLASS-LAG,0.6429
Mean AUC 1% — CONS-STD,0.46
Mean AUC 1% — CONS-STD-PROB,0.6923
Mean AUC 2% — CLASS-LAG,0.6429
Mean AUC 2% — CONS-STD,0.46
Mean AUC 2% — CONS-STD-PROB,0.6923
Mean AUC 3% — CLASS-LAG,0.6186
Mean AUC 3% — CONS-STD,0.5
Mean AUC 3% — CONS-STD-PROB,0.55
Mean AUC 4% — CLASS-LAG,0.5701
Mean AUC 4% — CONS-STD,0.4976
Mean AUC 4% — CONS-STD-PROB,0.5643
Mean AUC 5% — CLASS-LAG,0.5614
Mean AUC 5% — CONS-STD,0.4797
Mean AUC 5% — CONS-STD-PROB,0.5644
Mean AUC 6% — CLASS-LAG,0.5229
Mean AUC 6% — CONS-STD,0.5036
Mean AUC 6% — CONS-STD-PROB,0.5475
Mean AUC 7% — CLASS-LAG,0.521
Mean AUC 7% — CONS-STD,0.514
Mean AUC 7% — CONS-STD-PROB,0.5702
Mean AUC 8% — CLASS-LAG,0.5453
Mean AUC 8% — CONS-STD,0.5361
Mean AUC 8% — CONS-STD-PROB,0.576
Mean AUC 9% — CLASS-LAG,0.5662
Mean AUC 9% — CONS-STD,0.5234
Mean AUC 9% — CONS-STD-PROB,0.5598
Mean AUC 10% — CLASS-LAG,0.5954
Mean AUC 10% — CONS-STD,0.5422
Mean AUC 10% — CONS-STD-PROB,0.561
Mean AUC 20% — CLASS-LAG,0.5592
Mean AUC 20% — CONS-STD,0.5481
Mean AUC 20% — CONS-STD-PROB,0.5703
Mean AUC 30% — CLASS-LAG,0.5502
Mean AUC 30% — CONS-STD,0.5502
Mean AUC 30% — CONS-STD-PROB,0.5551
Mean AUC 40% — CLASS-LAG,0.5488
Mean AUC 40% — CONS-STD,0.5528
Mean AUC 40% — CONS-STD-PROB,0.5431
Mean AUC 50% — CLASS-LAG,0.5529
Mean AUC 50% — CONS-STD,0.5596
Mean AUC 50% — CONS-STD-PROB,0.5479
Mean AUC 60% — CLASS-LAG,0.5473
Mean AUC 60% — CONS-STD,0.5499
Mean AUC 60% — CONS-STD-PROB,0.5545
Mean AUC 70% — CLASS-LAG,0.5491
Mean AUC 70% — CONS-STD,0.5488
Mean AUC 70% — CONS-STD-PROB,0.5456
Mean AUC 80% — CLASS-LAG,0.5506
Mean AUC 80% — CONS-STD,0.553
Mean AUC 80% — CONS-STD-PROB,0.5478
Mean AUC 90% — CLASS-LAG,0.5555
Mean AUC 90% — CONS-STD,0.5547
Mean AUC 90% — CONS-STD-PROB,0.5559
Mean AUC 100% — CLASS-LAG,0.5596
Mean AUC 100% — CONS-STD,0.5596
Mean AUC 100% — CONS-STD-PROB,0.5596
